subj	date	Experiment	SessionTime	level	Procedure	Grid1.OnsetTime	Delay.OnsetTime	Target.OnsetTime	Delay_time	ITI	Load	Block	Cue1_img	Cue2_img	Cue3_img	Target_img	Target.RT	Target.RTTime	Target.ACC	Match
10638	20130514	1_A	09:08:03	2	 cueDelay	 715452	 716952		 4500	 2000	 high		 Cue2.JPG	 Cue7.JPG	 Cue5.JPG	 NA				 NA
10638	20130514	1_A	09:08:03	2	 cueDelayProbe	 723451	 724951	 729468	 4500	 1000	 low		 Cue5.JPG	 Cue5.JPG	 Cue5.JPG	 Target1357.JPG	 1039	 730507	 1	 yes
10638	20130514	1_A	09:08:03	2	 cueDelayProbe	 732984	 734484	 737501	 3000	 1000	 high		 Cue8.JPG	 Cue6.JPG	 Cue2.JPG	 Target1358.JPG	 1121	 738622	 1	 yes
10638	20130514	1_A	09:08:03	2	 cueDelayProbe	 741017	 742517	 747034	 4500	 2000	 high		 Cue1.JPG	 Cue4.JPG	 Cue7.JPG	 Target2368.JPG	 1127	 748161	 1	 no
10638	20130514	1_A	09:08:03	2	 cue	 751550			 NA	 4000	 high		 Cue3.JPG	 Cue7.JPG	 Cue6.JPG	 NA				 NA
10638	20130514	1_A	09:08:03	2	 cueDelay	 757050	 758550		 4500	 2000	 low		 Cue3.JPG	 Cue3.JPG	 Cue3.JPG	 NA				 NA
10638	20130514	1_A	09:08:03	2	 cueDelay	 765049	 766549		 1500	 4000	 high		 Cue5.JPG	 Cue1.JPG	 Cue8.JPG	 NA				 NA
10638	20130514	1_A	09:08:03	2	 cue	 772049			 NA	 16000	 low		 Cue8.JPG	 Cue8.JPG	 Cue8.JPG	 NA				 NA
10638	20130514	1_A	09:08:03	2	 cueDelayProbe	 789548	 791048	 794065	 3000	 1000	 low		 Cue3.JPG	 Cue3.JPG	 Cue3.JPG	 Target2368.JPG	 882	 794947	 1	 yes
10638	20130514	1_A	09:08:03	2	 cueDelayProbe	 797581	 799081	 803582	 4500	 4000	 high		 Cue2.JPG	 Cue8.JPG	 Cue6.JPG	 Target1467.JPG	 1377	 804959	 0	 yes
10638	20130514	1_A	09:08:03	2	 cue	 810097			 NA	 1000	 high		 Cue8.JPG	 Cue4.JPG	 Cue1.JPG	 NA				 NA
